text,label
Life is beautiful.,POSITIVE
This sucks.,NEGATIVE
Best day ever!,POSITIVE
Nothing special happening.,NEUTRAL
Absolutely fantastic!,POSITIVE
I'm so happy right now!,POSITIVE
This is amazing!,POSITIVE
Couldn't be better!,POSITIVE
So-so experience.,NEUTRAL
This is amazing!,POSITIVE
I hate it here.,NEGATIVE
Worst day ever.,NEGATIVE
Feeling great today!,POSITIVE
Absolutely fantastic!,POSITIVE
Worst day ever.,NEGATIVE
Absolutely fantastic!,POSITIVE
I'm so happy right now!,POSITIVE
I'm thrilled!,POSITIVE
This is terrible.,NEGATIVE
I love this!,POSITIVE
I'm thrilled!,POSITIVE
Worst day ever.,NEGATIVE
I guess it's alright.,NEUTRAL
"Okay, fine.",NEUTRAL
Best day ever!,POSITIVE
Feeling great today!,POSITIVE
This is terrible.,NEGATIVE
Feeling great today!,POSITIVE
So-so experience.,NEUTRAL
I love this!,POSITIVE
Feeling great today!,POSITIVE
Everything is going perfectly.,POSITIVE
Feeling really down today.,NEGATIVE
Absolutely fantastic!,POSITIVE
Everything is going perfectly.,POSITIVE
I'm thrilled!,POSITIVE
Feeling great today!,POSITIVE
That's interesting.,NEUTRAL
I'm so happy right now!,POSITIVE
Couldn't be better!,POSITIVE
Everything is going perfectly.,POSITIVE
Couldn't be better!,POSITIVE
Just another day.,NEUTRAL
I'm so happy right now!,POSITIVE
Feeling really down today.,NEGATIVE
Completely average.,NEUTRAL
Everything is going perfectly.,POSITIVE
I love this!,POSITIVE
Nothing special happening.,NEUTRAL
Absolutely fantastic!,POSITIVE
I love this!,POSITIVE
Absolutely fantastic!,POSITIVE
"Okay, fine.",NEUTRAL
Best day ever!,POSITIVE
Couldn't be better!,POSITIVE
I feel miserable.,NEGATIVE
Couldn't be better!,POSITIVE
I love this!,POSITIVE
I hate it here.,NEGATIVE
It is what it is.,NEUTRAL
Completely average.,NEUTRAL
Life is beautiful.,POSITIVE
Feeling great today!,POSITIVE
Absolutely fantastic!,POSITIVE
Completely average.,NEUTRAL
I love this!,POSITIVE
Life is beautiful.,POSITIVE
Best day ever!,POSITIVE
I'm thrilled!,POSITIVE
Everything went wrong.,NEGATIVE
Nothing special happening.,NEUTRAL
Best day ever!,POSITIVE
This is amazing!,POSITIVE
I love this!,POSITIVE
